snr_db,repeat,accuracy,macro_f1,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
40.0,0,0.980642,0.979928,0.980420,0.000271,0.979696,0.000283
40.0,1,0.980642,0.979928,0.980420,0.000271,0.979696,0.000283
40.0,2,0.980088,0.979350,0.980420,0.000271,0.979696,0.000283
40.0,3,0.980642,0.979928,0.980420,0.000271,0.979696,0.000283
40.0,4,0.980088,0.979350,0.980420,0.000271,0.979696,0.000283
35.0,0,0.973451,0.972393,0.974004,0.000700,0.972974,0.000735
35.0,1,0.973451,0.972393,0.974004,0.000700,0.972974,0.000735
35.0,2,0.973451,0.972393,0.974004,0.000700,0.972974,0.000735
35.0,3,0.975111,0.974136,0.974004,0.000700,0.972974,0.000735
35.0,4,0.974558,0.973555,0.974004,0.000700,0.972974,0.000735
30.0,0,0.913164,0.907013,0.914934,0.001541,0.908995,0.001724
30.0,1,0.917035,0.911346,0.914934,0.001541,0.908995,0.001724
30.0,2,0.914270,0.908253,0.914934,0.001541,0.908995,0.001724
30.0,3,0.916482,0.910729,0.914934,0.001541,0.908995,0.001724
30.0,4,0.913717,0.907633,0.914934,0.001541,0.908995,0.001724
25.0,0,0.783186,0.744955,0.782190,0.001501,0.743547,0.002119
25.0,1,0.781527,0.742613,0.782190,0.001501,0.743547,0.002119
25.0,2,0.779867,0.740263,0.782190,0.001501,0.743547,0.002119
25.0,3,0.784292,0.746511,0.782190,0.001501,0.743547,0.002119
25.0,4,0.782080,0.743395,0.782190,0.001501,0.743547,0.002119
20.0,0,0.669248,0.558345,0.666925,0.001501,0.553846,0.002909
20.0,1,0.668142,0.556210,0.666925,0.001501,0.553846,0.002909
20.0,2,0.665929,0.551917,0.666925,0.001501,0.553846,0.002909
20.0,3,0.665929,0.551917,0.666925,0.001501,0.553846,0.002909
20.0,4,0.665376,0.550839,0.666925,0.001501,0.553846,0.002909
15.0,0,0.607854,0.426346,0.608739,0.001290,0.428465,0.003085
15.0,1,0.611173,0.434282,0.608739,0.001290,0.428465,0.003085
15.0,2,0.608960,0.429003,0.608739,0.001290,0.428465,0.003085
15.0,3,0.607854,0.426346,0.608739,0.001290,0.428465,0.003085
15.0,4,0.607854,0.426346,0.608739,0.001290,0.428465,0.003085
10.0,0,0.594027,0.392116,0.593142,0.000750,0.389855,0.001917
10.0,1,0.592920,0.389292,0.593142,0.000750,0.389855,0.001917
10.0,2,0.592367,0.387876,0.593142,0.000750,0.389855,0.001917
10.0,3,0.592367,0.387876,0.593142,0.000750,0.389855,0.001917
10.0,4,0.594027,0.392116,0.593142,0.000750,0.389855,0.001917
5.0,0,0.589049,0.379306,0.589049,0.000000,0.379306,0.000000
5.0,1,0.589049,0.379306,0.589049,0.000000,0.379306,0.000000
5.0,2,0.589049,0.379306,0.589049,0.000000,0.379306,0.000000
5.0,3,0.589049,0.379306,0.589049,0.000000,0.379306,0.000000
5.0,4,0.589049,0.379306,0.589049,0.000000,0.379306,0.000000
